id,kota,jalan,lat,lng,jumlah_kecelakaan,rata_severity,pagerank,komunitas,degree
Santa Rosa|Redwood Hwy S,Santa Rosa,Redwood Hwy S,38.4439,-122.7274,1962,2.003,2.8173,94489280644,68
Los Angeles|US-101 N,Los Angeles,US-101 N,34.0751,-118.2712,1500,2.123,2.7975,360777252922,116
Riverside|CA-60 W,Riverside,CA-60 W,33.9699,-117.3273,3221,2.115,2.7958,94489280620,94
Redlands|I-10 W,Redlands,I-10 W,34.0494,-117.1733,2065,2.355,2.7948,223338299496,52
Redlands|I-10 E,Redlands,I-10 E,34.0455,-117.1617,2041,2.301,2.7948,223338299496,52
San Jose|Bayshore Fwy S,San Jose,Bayshore Fwy S,37.3414,-121.8711,2713,2.046,2.7825,420906795137,96
San Jose|US-101 N,San Jose,US-101 N,37.3378,-121.8626,1409,2.062,2.7825,420906795137,96
San Jose|Bayshore Fwy N,San Jose,Bayshore Fwy N,37.3396,-121.8633,1909,2.033,2.7825,420906795137,96
San Bernardino|CA-210 W,San Bernardino,CA-210 W,34.1424,-117.2858,677,2.059,2.7781,498216206474,82
Modesto|CA-99 S,Modesto,CA-99 S,37.6522,-121.0213,984,2.035,2.7752,257698037849,66
Modesto|CA-99 N,Modesto,CA-99 N,37.6523,-121.021,1185,2.031,2.7752,257698037849,66
San Bernardino|I-215 S,San Bernardino,I-215 S,34.1049,-117.3092,1969,2.408,2.7742,498216206474,84
Long Beach|I-405,Long Beach,I-405,33.8106,-118.163,391,2.133,2.7725,128849018952,100
Long Beach|San Diego Fwy S,Long Beach,San Diego Fwy S,33.8119,-118.1691,1341,2.699,2.7725,128849018952,100
Long Beach|I-405 N,Long Beach,I-405 N,33.8125,-118.1683,3298,2.47,2.7725,128849018952,100
Long Beach|I-405 S,Long Beach,I-405 S,33.812,-118.1677,1531,2.27,2.7725,128849018952,100
San Bernardino|I-215,San Bernardino,I-215,34.1554,-117.3398,450,2.058,2.7719,498216206474,84
San Bernardino|I-215 N,San Bernardino,I-215 N,34.1137,-117.3126,1276,2.462,2.7719,498216206474,84
San Jose|I-280 N,San Jose,I-280 N,37.3218,-121.9153,1559,2.269,2.7658,455266533524,94
San Francisco|James Lick Fwy N,San Francisco,James Lick Fwy N,37.7519,-122.403,2294,2.242,2.7645,438086664325,100
Diamond Bar|CA-57 N,Diamond Bar,CA-57 N,33.9928,-117.8352,1597,2.026,2.7575,266287972450,92
San Bernardino|Barstow Fwy S,San Bernardino,Barstow Fwy S,34.2347,-117.4073,2237,2.297,2.7561,498216206474,84
Los Angeles| S Central Ave,Los Angeles, S Central Ave,33.9593,-118.2551,380,2.037,2.7409,300647710769,118
Madera|CA-99,Madera,CA-99,36.9469,-120.0481,224,1.996,2.719,489626271817,40
Riverside|CA-91,Riverside,CA-91,33.9357,-117.4193,857,2.012,2.7119,94489280620,90
Los Angeles|S Central Ave,Los Angeles,S Central Ave,33.9457,-118.2547,513,2.318,2.6949,300647710769,122
San Bernardino|CA-210 E,San Bernardino,CA-210 E,34.1421,-117.2883,1583,2.075,2.687,498216206474,78
Perris| Cajalco Rd,Perris, Cajalco Rd,33.836,-117.3145,395,2.013,2.6754,214748364892,56
Ventura|El Camino Real S,Ventura,El Camino Real S,34.2939,-119.3169,354,2.028,2.6635,292057776268,64
Salinas|El Camino Real,Salinas,El Camino Real,36.6728,-121.6333,86,1.988,2.6546,163208757370,44
Los Angeles|I-405,Los Angeles,I-405,34.0491,-118.4446,659,2.083,2.6528,532575944751,120
Santa Rosa|US-101,Santa Rosa,US-101,38.4402,-122.7267,213,2.009,2.6401,94489280644,64
Santa Barbara|US-101 N,Santa Barbara,US-101 N,34.4265,-119.708,938,2.021,2.6113,51539607677,50
Santa Barbara|US-101 S,Santa Barbara,US-101 S,34.4262,-119.7045,1055,2.021,2.6113,51539607677,50
Oakland|I-580 W,Oakland,I-580 W,37.7945,-122.2128,2686,2.415,2.607,163208757340,88
Riverside|CA-60 E,Riverside,CA-60 E,33.9748,-117.3345,2061,2.141,2.6041,94489280620,88
Los Angeles|Golden State Fwy N,Los Angeles,Golden State Fwy N,34.0918,-118.2408,2671,2.24,2.6032,412316860476,112
Los Angeles|Golden State Fwy S,Los Angeles,Golden State Fwy S,34.0936,-118.2442,5837,2.407,2.6032,412316860476,112
Riverside|CA-91 E,Riverside,CA-91 E,33.9361,-117.4199,2802,2.014,2.6015,94489280620,86
Fairfield|I-80 W,Fairfield,I-80 W,38.2535,-122.0818,1787,2.482,2.5962,25769803804,56
Dixon|I-80 W,Dixon,I-80 W,38.4784,-121.8185,691,2.425,2.596,523986010143,48
Fresno|CA-41 S,Fresno,CA-41 S,36.7794,-119.7828,1102,2.013,2.5929,532575944739,82
Palmdale|Antelope Valley Fwy S,Palmdale,Antelope Valley Fwy S,34.5616,-118.1304,399,2.015,2.5868,214748364887,68
Palmdale|Antelope Valley Fwy N,Palmdale,Antelope Valley Fwy N,34.5621,-118.1304,601,2.03,2.5868,214748364887,68
Fairfield|I-80,Fairfield,I-80,38.2458,-122.0955,366,2.123,2.5852,25769803804,56
San Jose|Guadalupe Pkwy,San Jose,Guadalupe Pkwy,37.3106,-121.8845,262,2.004,2.5773,257698037905,86
Oakland|I-880 S,Oakland,I-880 S,37.7751,-122.2392,2346,2.314,2.5677,163208757340,88
Vallejo|I-80 E,Vallejo,I-80 E,38.1095,-122.2272,954,2.513,2.5675,17179869334,50
Bakersfield|Bakersfield Tehachapi Hwy,Bakersfield,Bakersfield Tehachapi Hwy,35.3452,-118.9322,200,2.0,2.5657,412316860467,70
Pasadena|Foothill Fwy E,Pasadena,Foothill Fwy E,34.1559,-118.1258,2565,2.319,2.5655,266287972443,82
Pasadena|Foothill Fwy W,Pasadena,Foothill Fwy W,34.1537,-118.1187,1777,2.353,2.5655,266287972443,82
Ventura|El Camino Real N,Ventura,El Camino Real N,34.2995,-119.3262,507,2.018,2.5624,292057776268,62
Los Angeles| S Alameda St,Los Angeles, S Alameda St,33.9716,-118.2332,1034,2.013,2.5569,171798691904,108
Oakland|I-580 E,Oakland,I-580 E,37.7945,-122.2133,2652,2.456,2.556,163208757340,86
Riverside|Riverside Fwy E,Riverside,Riverside Fwy E,33.9369,-117.4182,1154,2.092,2.5449,94489280620,84
Fresno|CA-180 E,Fresno,CA-180 E,36.7506,-119.7662,776,1.982,2.5318,532575944739,74
Fresno|CA-41 N,Fresno,CA-41 N,36.7736,-119.7815,1274,2.013,2.5308,532575944739,80
Los Angeles|CA-110 N,Los Angeles,CA-110 N,34.0619,-118.2482,3034,2.119,2.5298,412316860476,102
Whittier|I-605 N,Whittier,I-605 N,34.0065,-118.0551,1770,2.212,2.5208,60129542300,92
Whittier|San Gabriel River Fwy N,Whittier,San Gabriel River Fwy N,33.9892,-118.068,1051,2.754,2.5208,60129542300,92
Calistoga| Lake County Hwy,Calistoga, Lake County Hwy,38.6341,-122.5946,324,2.077,2.5192,274877906999,24
Fairfield|I-80 E,Fairfield,I-80 E,38.2648,-122.0632,1617,2.405,2.5076,25769803804,54
San Diego|John J Montgomery Fwy S,San Diego,John J Montgomery Fwy S,32.6643,-117.1174,311,2.695,2.5038,249108103273,98
Oakland|I-880 N,Oakland,I-880 N,37.776,-122.2402,3516,2.435,2.4946,163208757340,86
San Jose|Sinclair Fwy N,San Jose,Sinclair Fwy N,37.3237,-121.8935,794,2.602,2.4903,455266533524,86
Stockton|CA-4,Stockton,CA-4,37.9395,-121.3076,130,2.123,2.4893,231928234112,52
Whittier|I-605,Whittier,I-605,34.0102,-118.0514,399,2.105,2.4826,60129542300,90
San Diego|Kumeyaay Hwy,San Diego,Kumeyaay Hwy,32.768,-117.1501,461,2.043,2.4673,249108103273,102
North Hollywood|Hollywood Fwy N,North Hollywood,Hollywood Fwy N,34.1732,-118.3869,341,2.179,2.4658,34359738452,76
North Hollywood|CA-170 N,North Hollywood,CA-170 N,34.1835,-118.3948,584,2.017,2.4658,34359738452,76
North Hollywood|CA-170,North Hollywood,CA-170,34.1818,-118.3933,139,2.036,2.4658,34359738452,76
North Hollywood|CA-170 S,North Hollywood,CA-170 S,34.1753,-118.3898,1252,2.057,2.4658,34359738452,76
Riverside|I-215,Riverside,I-215,33.9723,-117.3273,414,2.085,2.4633,94489280620,86
Porterville|CA-65,Porterville,CA-65,36.095,-119.0487,61,2.033,2.4614,223338299495,22
Oakland|I-580,Oakland,I-580,37.7904,-122.2047,291,2.082,2.4586,163208757340,82
Sacramento|US-50,Sacramento,US-50,38.5613,-121.4371,469,1.998,2.4535,266287972461,96
Sacramento| Stockton Blvd,Sacramento, Stockton Blvd,38.5026,-121.4324,475,2.027,2.4493,455266533510,92
Sacramento|Stockton Blvd,Sacramento,Stockton Blvd,38.5026,-121.4327,499,2.014,2.4493,455266533510,92
Sacramento|I-5,Sacramento,I-5,38.5749,-121.5211,525,2.04,2.433,240518168676,82
Livermore|I-580,Livermore,I-580,37.7096,-121.7322,388,2.09,2.4284,429496729655,48
Los Angeles|Hollywood Fwy S,Los Angeles,Hollywood Fwy S,34.0945,-118.3049,2920,2.039,2.4279,360777252922,98
San Bernardino|CA-210,San Bernardino,CA-210,34.1418,-117.2911,253,2.02,2.4196,498216206474,72
San Diego|CA-163 N,San Diego,CA-163 N,32.7732,-117.1538,1204,2.145,2.4179,249108103273,108
Sacramento|Watt Ave,Sacramento,Watt Ave,38.6003,-121.3829,718,1.999,2.4063,92,96
Malibu|Pacific Coast Hwy,Malibu,Pacific Coast Hwy,34.0454,-118.7406,256,2.02,2.4042,42949673046,28
Sacramento| Florin Rd,Sacramento, Florin Rd,38.4961,-121.4293,805,2.009,2.4042,266287972461,82
Sacramento|Florin Rd,Sacramento,Florin Rd,38.4961,-121.431,709,2.007,2.4042,266287972461,82
Los Angeles| S Western Ave,Los Angeles, S Western Ave,33.97,-118.309,324,2.062,2.3987,77309411393,118
San Mateo|CA-92 W,San Mateo,CA-92 W,37.5614,-122.2799,660,2.039,2.3925,463856468111,56
Garden Grove|Garden Grove Fwy,Garden Grove,Garden Grove Fwy,33.7699,-117.946,1997,2.006,2.3922,335007449236,74
Garden Grove|CA-22 W,Garden Grove,CA-22 W,33.7706,-117.9569,605,2.081,2.3922,335007449236,74
Corona|CA-91 W,Corona,CA-91 W,33.8815,-117.5996,3645,2.066,2.3869,532575944729,78
Corona|CA-91,Corona,CA-91,33.8836,-117.5685,438,2.009,2.3869,532575944729,78
Corona|CA-91 E,Corona,CA-91 E,33.8808,-117.5911,3105,2.038,2.3869,532575944729,78
Vallejo|I-80 W,Vallejo,I-80 W,38.1116,-122.2278,1138,2.412,2.3786,17179869334,46
San Diego|CA-163,San Diego,CA-163,32.7818,-117.1519,385,1.995,2.374,249108103273,106
Los Angeles|S La Cienega Blvd,Los Angeles,S La Cienega Blvd,34.0035,-118.3729,720,2.254,2.3735,532575944751,112
Chico|CA-99,Chico,CA-99,39.7239,-121.8111,154,2.013,2.3731,335007449117,18
Los Angeles| S Vermont Ave,Los Angeles, S Vermont Ave,33.9789,-118.2917,496,2.004,2.3714,77309411393,118
Covina| E Arrow Hwy,Covina, E Arrow Hwy,34.1067,-117.8797,123,2.033,2.3632,438086664195,54
Covina|E Arrow Hwy,Covina,E Arrow Hwy,34.1068,-117.8933,41,2.0,2.3632,438086664195,54
Santa Barbara|US-101,Santa Barbara,US-101,34.426,-119.7014,208,2.005,2.3576,51539607677,46
Corona|I-15 N,Corona,I-15 N,33.8349,-117.5211,1093,2.555,2.3568,532575944729,70
Merced|CA-99 N,Merced,CA-99 N,37.2982,-120.4878,546,2.013,2.3556,352187318273,34
Merced|CA-99 S,Merced,CA-99 S,37.2949,-120.4816,355,1.997,2.3556,352187318273,34
Redwood City|I-280 S,Redwood City,I-280 S,37.4632,-122.2826,934,2.433,2.3528,395136991330,52
